Source,Dataset name,Dataset Tag,Dataset save name,Done?,Link,Probe from,Probe to,Data type,Notes,,,# continuous,# multiclass,# binary,,Lot of data here,,,,,
,phrase_clinical-trials,clinical-trials,cleaned_data/84_clinical-trials.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
,phrase_mental-health,mental-health,cleaned_data/85_mental-health.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
Sap et al. [2019],social_iqa,social_iqa,cleaned_data/86_social_iqa.csv,Yes,https://huggingface.co/datasets/allenai/social_i_qa,context | question |answers,correct answer,Multiclass Classification,probably needs a bit of engineering,,,,,,,,,,,,
GLUE;,cola - grammatical,glue_cola,cleaned_data/87_glue_cola.csv,Yes,https://huggingface.co/datasets/nyu-mll/glue/viewer/cola,sentence,is grammatical?,Binary Classification,,,,,,,,,,,,,
,mnl - logical,glue_mnli,cleaned_data/88_glue_mnli.csv,Yes,https://huggingface.co/datasets/nyu-mll/glue/viewer/mnli,premise | hypothesis,"neutral,entailment,contradiction",Multiclass Classification,,,,,,,,,,,,,
,mrpc - equivalence,glue_mrpc,cleaned_data/89_glue_mrpc.csv,Yes,https://huggingface.co/datasets/nyu-mll/glue/viewer/mrpc,sentence 1 | 2,equivalent?,Binary Classification,,,,,,,,,,,,,
,qnli - logical,glue_qnli,cleaned_data/90_glue_qnli.csv,Yes,https://huggingface.co/datasets/nyu-mll/glue/viewer/qnli,question sentence,entailment?,Binary Classification,,,,,,,,,,,,,
,qqp - duplicate?,glue_qqp,cleaned_data/91_glue_qqp.csv,Yes,https://huggingface.co/datasets/nyu-mll/glue/viewer/qqp,sentence 1;2,duplicate?,Binary Classification,look into,,,,,,,,,,,,
,sst2 - sentiment,glue_sst2,cleaned_data/92_glue_sst2.csv,Yes,https://huggingface.co/datasets/nyu-mll/glue/viewer/sst2,phrases from review,pos/neg,Binary Classification,,,,,,,,,,,,,
,stsb - semantic similarity,glue_stsb,cleaned_data/93_glue_stsb.csv,Yes,https://huggingface.co/datasets/nyu-mll/glue/viewer/stsb,two phrases,semantic cos sim,Continuous Data,,,,,,,,,,,,,
